Canadian Province/CMA,Gender,Mother tongue,Population,Province
Nova Scotia,Women+,"Turkic languages, n.i.e.",10,Nova Scotia
Nova Scotia,Women+,Hungarian,10,Nova Scotia
Nova Scotia,Women+,"Other languages, n.i.e.",10,Nova Scotia
Halifax,Men+,English,3085,Nova Scotia
Halifax,Men+,French,140,Nova Scotia
Halifax,Men+,Oromo,25,Nova Scotia
Halifax,Men+,Somali,60,Nova Scotia
Halifax,Men+,Amharic,20,Nova Scotia
Halifax,Men+,Arabic,1540,Nova Scotia
Halifax,Men+,Hebrew,50,Nova Scotia
Halifax,Men+,Tigrigna,15,Nova Scotia
Halifax,Men+,Vietnamese,100,Nova Scotia
Halifax,Men+,"Bisaya, n.o.s.",40,Nova Scotia
Halifax,Men+,Cebuano,25,Nova Scotia
Halifax,Men+,Ilocano,15,Nova Scotia
Halifax,Men+,"Tagalog (Pilipino, Filipino)",535,Nova Scotia
Halifax,Men+,"Austronesian languages, n.i.e.",20,Nova Scotia
Halifax,Men+,"Creole languages, n.i.e.",30,Nova Scotia
Halifax,Men+,Kannada,15,Nova Scotia
Halifax,Men+,Malayalam,205,Nova Scotia
Halifax,Men+,Tamil,215,Nova Scotia
Halifax,Men+,Telugu,160,Nova Scotia
Halifax,Men+,Albanian,45,Nova Scotia
Halifax,Men+,Slavic languages,300,Nova Scotia
Halifax,Men+,Bulgarian,15,Nova Scotia
Halifax,Men+,Polish,10,Nova Scotia
Halifax,Men+,Russian,215,Nova Scotia
Halifax,Men+,Serbo-Croatian,20,Nova Scotia
Halifax,Men+,Serbian,15,Nova Scotia
Halifax,Men+,Ukrainian,40,Nova Scotia
Halifax,Men+,German,50,Nova Scotia
Halifax,Men+,Afrikaans,25,Nova Scotia
Halifax,Men+,Dutch,30,Nova Scotia
Halifax,Men+,Bengali,200,Nova Scotia
Halifax,Men+,Gujarati,190,Nova Scotia
Halifax,Men+,Hindi,460,Nova Scotia
Halifax,Men+,Marathi,90,Nova Scotia
Halifax,Men+,Nepali,15,Nova Scotia
Halifax,Men+,Odia,10,Nova Scotia
Halifax,Men+,Punjabi (Panjabi),230,Nova Scotia
Halifax,Men+,Sinhala (Sinhalese),15,Nova Scotia
Halifax,Men+,Urdu,185,Nova Scotia
Halifax,Men+,Kurdish,95,Nova Scotia
Halifax,Men+,Pashto,10,Nova Scotia
Halifax,Men+,Dari,25,Nova Scotia
Halifax,Men+,Iranian Persian,70,Nova Scotia
Halifax,Men+,"Persian (Farsi), n.o.s.",10,Nova Scotia
Halifax,Men+,Italian,20,Nova Scotia
Halifax,Men+,Portuguese,130,Nova Scotia
Halifax,Men+,Romanian,30,Nova Scotia
Halifax,Men+,Spanish,160,Nova Scotia
Halifax,Men+,Korean,180,Nova Scotia
Halifax,Men+,Akan (Twi),20,Nova Scotia
Halifax,Men+,Igbo,60,Nova Scotia
Halifax,Men+,Kinyarwanda (Rwanda),10,Nova Scotia
Halifax,Men+,Rundi (Kirundi),10,Nova Scotia
Halifax,Men+,Shona,10,Nova Scotia
Halifax,Men+,Swahili,55,Nova Scotia
Halifax,Men+,Yoruba,145,Nova Scotia
Halifax,Men+,"Niger-Congo languages, n.i.e.",65,Nova Scotia
Halifax,Men+,Dinka,20,Nova Scotia
Halifax,Men+,"Nilo-Saharan languages, n.i.e.",10,Nova Scotia
Halifax,Men+,Mandarin,820,Nova Scotia
Halifax,Men+,Wu (Shanghainese),10,Nova Scotia
Halifax,Men+,Yue (Cantonese),55,Nova Scotia
Halifax,Men+,"Chinese, n.o.s.",25,Nova Scotia
Halifax,Men+,"Tibeto-Burman languages, n.i.e.",10,Nova Scotia
Halifax,Men+,Thai,20,Nova Scotia
Halifax,Men+,Azerbaijani,15,Nova Scotia
Halifax,Men+,Turkish,50,Nova Scotia
Halifax,Men+,"Turkic languages, n.i.e.",15,Nova Scotia
Halifax,Women+,English,2810,Nova Scotia
Halifax,Women+,French,160,Nova Scotia
Halifax,Women+,Oromo,20,Nova Scotia
Halifax,Women+,Somali,25,Nova Scotia
Halifax,Women+,Amharic,10,Nova Scotia
Halifax,Women+,Arabic,1330,Nova Scotia
Halifax,Women+,Hebrew,60,Nova Scotia
Halifax,Women+,Tigrigna,10,Nova Scotia
Halifax,Women+,Vietnamese,85,Nova Scotia
Halifax,Women+,"Bisaya, n.o.s.",55,Nova Scotia
Halifax,Women+,Cebuano,60,Nova Scotia
Halifax,Women+,Hiligaynon,10,Nova Scotia
Halifax,Women+,Ilocano,40,Nova Scotia
Halifax,Women+,Indonesian,15,Nova Scotia
Halifax,Women+,"Tagalog (Pilipino, Filipino)",590,Nova Scotia
